2335982	11959863	0.3496932515337423312883435583	228	228
2410933	828059	0.1140965732087227414330218069	586	938
2410933	959092	0.0685358255451713395638629283	352	938
5372111	105618749	0.0344458707744972186563970903	161	2911
5372111	1332738	0.0181857081728712023962344887	85	2911
5372111	1984640	0.1673085151904150620453572957	782	2911
5372111	36358540	0.020325203252032520325203252	95	2911
5372111	37140198	0.1059050064184852374839537869	495	2911
5372111	745888	0.276636713735558408215661104	1293	2911
2793165	1048228	0.0104365253947304101285623503	427	35128
2793165	104833	0.0956396343549885124896123576	3913	35128
2793165	10916896	0.0252725228528132179693992276	1034	35128
2793165	1241630	0.0776751234296328884978247055	3178	35128
2793165	1281676	0.0022486190546023366084958694	92	35128
2793165	1321366	0.0228772547294324681038275407	936	35128
2793165	1332719	0.0128073520066480911179547343	524	35128
2793165	20400357	0.0272767267927848658161020678	1116	35128
2793165	30869117	0.0459744830620325560932688077	1881	35128
2793165	336695339	0.0502273060566065405484675172	2055	35128
2793165	33792893	0.1078359485750598817030845187	4412	35128
2793165	33792902	0.064916654445910935132228577	2656	35128
2793165	34060332	0.0391308598523732707630639879	1601	35128
2793165	37413	0.1423229212494500659920809503	5823	35128
2793165	47454895	0.0599305861074448843916507797	2452	35128
2793165	56298562	0.0087989441267047954245490541	360	35128
2793165	78826712	0.0011243095273011683042479347	46	35128
2793165	8491205	0.0545045705626435938798455296	2230	35128
2793165	97573779	0.0070147137899007674634599404	287	35128
2793165	98079742	0.0025663587036222319988268074	105	35128
2883769	200215860	0.4384417493568540977581771408	1193	1737
2883769	2786408	0.1999264976111723631018008085	544	1737
5901817	62167	1	44	44
2271543	28076166	0.1773177317731773177317731773	197	197
3171291	10215634	0.0525679758308157099697885196	87	1196
3171291	1188234	0.0531722054380664652567975831	88	1196
3171291	168547000	0.0936555891238670694864048338	155	1196
3171291	334242890	0.0314199395770392749244712991	52	1196
3171291	337761	0.1915407854984894259818731118	317	1196
3171291	37616948	0.0682779456193353474320241692	113	1196
3171291	406026837	0.0972809667673716012084592145	161	1196
