5709982	32784	0.0205485820548582054858205486	221	10755
5854267	32784	0.7138075313807531380753138075	7677	10755
3832254	32784	0.0730822873082287308228730823	786	10755
5657976	32784	0.106834030683403068340306834	1149	10755
2859570	32784	0.032728963272896327289632729	352	10755
3428539	32784	0.0296606229660622966062296606	319	10755
5102242	32784	0.018596001859600185960018596	200	10755
3867807	32784	0.004741980474198047419804742	51	10755
5709982	32815	0.8444444444444444444444444444	988	1170
3499308	32815	0.1555555555555555555555555556	182	1170
5709982	3295794	0.1156462585034013605442176871	136	1176
3819280	3295794	0.0790816326530612244897959184	93	1176
5583136	3295794	0.371598639455782312925170068	437	1176
5268791	3295794	0.3826530612244897959183673469	450	1176
5910932	3295794	0.0510204081632653061224489796	60	1176
3858908	102798	0.0271464378265856663409660563	1278	47078
2007437	102798	0.0074344704532902842091847572	350	47078
5810398	102798	0.0415268278176643017970177153	1955	47078
3513600	102798	0.0488975742384978121415523174	2302	47078
2720295	102798	0.0408046221164875313309826246	1921	47078
3869607	102798	0.0138281150431199286290836484	651	47078
5491366	102798	0.0253196822294914822209949446	1192	47078
5097275	102798	0.0317133268193211266408938358	1493	47078
3008553	102798	0.0846467564467479502102893071	3985	47078
2787799	102798	0.0885339224266111559539487659	4168	47078
1165836	102798	0.0394451760907430222184459833	1857	47078
486761	102798	0.2368834699859807128595097498	11152	47078
3580723	102798	0.0434385487913675177365223671	2045	47078
5092770	102798	0.0100896384723225285696078848	475	47078
5615196	102798	0.0063299205573728705552487361	298	47078
1086934	102798	0.0012532393049832193381197162	59	47078
3860345	102798	0.0169930753218063639067080165	800	47078
5765424	102798	0.024767407281532775394026934	1166	47078
3191270	102798	0.0104932240112154297123922002	494	47078
692151	102798	0.2004545647648583202345044394	9437	47078
1916818	158847	0.3201506591337099811676082863	1700	5310
3858908	158847	0.6523540489642184557438794727	3464	5310
3428539	158847	0.0274952919020715630885122411	146	5310
5796363	150875	0.502953586497890295358649789	596	1185
3833555	150875	0.497046413502109704641350211	589	1185
5804539	32670	0.0371324084481052154803643623	4427	119222
5225673	32670	0.000494875106943349381825502	59	119222
5293701	32670	0.0069869654929459327976380198	833	119222
3071898	32670	0.0035563905990505108117629297	424	119222
3819280	32670	0.0082031839761117914478871349	978	119222
2095583	32670	0.0388099511835063998255355555	4627	119222
5264811	32670	0.0072973108989951519014946906	870	119222
5503223	32670	0.0323178607975038164097230377	3853	119222
3832254	32670	0.0594353391152639613494153764	7086	119222
5504006	32670	0.0149301303450705406720236198	1780	119222
5347741	32670	0.0008303836540235862508597407	99	119222
332897	32670	0.1935716562379426615893039875	23078	119222
3452749	32670	0.0031118417741691969602925635	371	119222
5514037	32670	0.0100484809850530942275754475	1198	119222
5874202	32670	0.0069869654929459327976380198	833	119222
2468649	32670	0.0137558504302897116304037845	1640	119222
5601023	32670	0.0216654644277062958178859606	2583	119222
3625286	32670	0.0008387713677005921725855966	100	119222
3597649	32670	0.0294073241515827615708510174	3506	119222
3428539	32670	0.0158024525674791565315126403	1884	119222
3146489	32670	0.0025163141031017765177567899	300	119222
5359227	32670	0.038189260371407961617822214	4553	119222
1206937	32670	0.016616060794148730938920669	1981	119222
5171334	32670	0.0538742849474090352451728708	6423	119222
5060519	32670	0.0188220294912012883528207881	2244	119222
697413	32670	0.1210850346412574860344567278	14436	119222
5814751	32670	0.0086057942326080756907282213	1026	119222
5667341	32670	0.0666487728774890540336515073	7946	119222
5102242	32670	0.0018369092952642968579624566	219	119222
2403792	32670	0.0004529365385583197731962222	54	119222
5403508	32670	0.0013839727567059770847662344	165	119222
5576967	32670	0.0008471590813775980943114526	101	119222
5295900	32670	0.0023569475432386640049655265	281	119222
2247521	32670	0.0226468269279159886598111087	2700	119222
5750433	32670	0.0029944137826911140561305799	357	119222
5342642	32670	0.0008303836540235862508597407	99	119222
2221304	32670	0.0199963094059821173944406234	2384	119222
3007796	32670	0.0055946050225629497911459294	667	119222
5823508	32670	0.0380969955209608964788377984	4542	119222
1215598	32670	0.037442753854154434584221033	4464	119222
5656720	32670	0.0070121286339769505628155877	836	119222
3010519	32670	0.0082702856855278388216939827	986	119222
3158912	32670	0.0150056197681635939675563235	1789	119222
3867807	32670	0.0010065256412407106071027159	120	119222
1275831	32670	0.0026840683766418949522739092	320	119222
5843731	369328	0.0104296565015304387257680535	92	8821
759718	369328	0.0810565695499376487926538941	715	8821
3185210	369328	0.0412651626799682575671692552	364	8821
3204059	369328	0.0825303253599365151343385104	728	8821
5722014	369328	0.0113365831538374333975739712	100	8821
5175940	369328	0.1617730416052601745833805691	1427	8821
5622454	369328	0.1343385103729735857612515588	1185	8821
793581	369328	0.022446434644598118127196463	198	8821
5659388	369328	0.0355968711030495408683822696	314	8821
5068388	369328	0.1651740165514114046026527605	1457	8821
320228	369328	0.079129350413785285115066319	698	8821
3645237	369328	0.0946604693345425688697426596	835	8821
2789268	369328	0.0802630087291690284548237161	708	8821
2607624	106359	0.192920555429091736854086046	3390	17572
970042	106359	0.0315843387206920100159344412	555	17572
2242045	106359	0.0270885499658547689506032324	476	17572
2361772	106359	0.0033576143865240154791714091	59	17572
723374	106359	0.0676075574778055998178921011	1188	17572
3786481	106359	0.0673230138857272934213521511	1183	17572
5348759	106359	0.021283860687457318461188254	374	17572
5583369	106359	0.003414523104939676758479399	60	17572
5068388	106359	0.1123947188709310266332802185	1975	17572
2193611	106359	0.0882654222626906442066924653	1551	17572
3815903	106359	0.0970293648987024812201229228	1705	17572
5615196	106359	0.0165604370589574322786250854	291	17572
